time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3972|-3969107.729140574,-7455822.773858827,2097768.8671335033|5117.237612002335,-2206.8099258647153,-1591.1714141852974|0,0,0|0,0,0|0,0,0|-0.9999996871334006,-0.0007910326711171977,0|9.747562695220036
3973|-3966089.462841281,-7457123.437884563,2096830.2662446646|5118.652578578211,-2204.150720276818,-1591.9193751313692|0,0,0|0,0,0|0,0,0|-0.9999996869758845,-0.0007912317731826554,0|9.747701803753314
3974|-3963069.3232677225,-7458422.980163095,2095890.901100761|5120.06719298642,-2201.489688039273,-1592.6673843413032|0,0,0|0,0,0|0,0,0|-0.9999996868183286,-0.0007914308752480816,0|9.747840912341855
3975|-3960008.0494512105,-7459738.254290614,2094938.5564414558|5121.4998193335105,-2198.7922322253253,-1593.425157166407|0,0,0|0,0,0|0,0,0|-0.9999996866607331,-0.0007916299773134764,0|9.74798002098566
3976|-3956984.13388627,-7461035.533676796,2093997.6506089186|5122.913722996921,-2196.1275160667583,-1594.1732635353435|0,0,0|0,0,0|0,0,0|-0.999999686503098,-0.00079182907937884,0|9.748119129684726
3977|-3953958.339962423,-7462331.686508876,2093055.9782808963|5124.327272663531,-2193.460966397405,-1594.921418171413|0,0,0|0,0,0|0,0,0|-0.9999996863454232,-0.000792028181444172,0|9.748258238439053
3978|-3950891.3331737323,-7463643.522257562,2092101.2941869628|5125.758818568447,-2190.7579144911315,-1595.6793383128402|0,0,0|0,0,0|0,0,0|-0.9999996861877088,-0.0007922272835094728,0|9.748397347248645
3979|-3947861.7530094287,-7464937.402483572,2091158.0766520011|5127.171653784986,-2188.0876670592047,-1596.4275901091632|0,0,0|0,0,0|0,0,0|-0.9999996860299548,-0.0007924263855747421,0|9.748536456113499
3980|-3944830.2893879106,-7466230.151311273,2090214.0903728155|5128.584133152443,-2185.415579225347,-1597.175890170579|0,0,0|0,0,0|0,0,0|-0.9999996858721611,-0.00079262548763998,0|9.748675565033613
3981|-3941757.534066431,-7467538.533896011,2089257.0599808437|5130.014592961787,-2182.7069101941706,-1597.933957622094|0,0,0|0,0,0|0,0,0|-0.9999996857143278,-0.0007928245897051864,0|9.74881467400899
3982|-3938682.8425460523,-7468845.752162151,2088299.239201176|5131.444686335998,-2179.9963479064227,-1598.6920745960183|0,0,0|0,0,0|0,0,0|-0.9999996855564549,-0.0007930236917703615,0|9.748953783039632
3983|-3935645.6693003317,-7470135.067547069,2087352.9221607575|5132.856085126729,-2177.3186770783605,-1599.4405206925785|0,0,0|0,0,0|0,0,0|-0.9999996853985423,-0.0007932227938355051,0|9.749092892125534
3984|-3932606.6057637325,-7471423.245002179,2086405.8333583323|5134.267125556899,-2174.6391565933304,-1600.189015043122|0,0,0|0,0,0|0,0,0|-0.9999996852405901,-0.0007934218959006174,0|9.749232001266698
